code,count
AND,28.0
ARE,632.0
AFG,105.0
ATG,22.0
AIA,0.0
ALB,105.0
ARM,42.0
ANT,0.0
AGO,149.0
ATA,282.0
ARG,1018.0
ASM,0.0
AUT,160.0
AUS,11741.0
ABW,8.0
AZE,93.0
BIH,0.0
BRB,350.0
BGD,1816.0
BEL,839.0
BFA,113.0
BGR,148.0
BHR,55.0
BDI,266.0
BEN,92.0
BMU,74.0
BRN,26.0
BOL,386.0
BRA,1206.0
BHS,64.0
BTN,71.0
BVT,0.0
BWA,248.0
BLR,5.0
BLZ,61.0
CAN,3907.0
CCK,0.0
COD,0.0
CAF,3.0
COG,0.0
CHE,1376.0
CIV,197.0
COK,5.0
CHL,2932.0
CMR,494.0
CHN,139.0
COL,2473.0
CRI,724.0
CUB,323.0
CPV,12.0
CXR,53.0
CYP,316.0
CZE,5.0
DEU,1416.0
DJI,132.0
DNK,591.0
DMA,4.0
DOM,243.0
DZA,65.0
ECU,852.0
EST,170.0
EGY,238.0
ESH,14.0
ERI,32.0
ESP,1130.0
ETH,468.0
FIN,653.0
FJI,1078.0
FLK,27.0
FSM,1.0
FRO,25.0
FRA,5066.0
GAB,537.0
GBR,47440.0
GRD,92.0
GEO,49.0
GUF,0.0
GGY,73.0
GHA,1236.0
GIB,97.0
GRL,15.0
GMB,119.0
GIN,29.0
GLP,10.0
GNQ,13.0
GRC,188.0
SGS,0.0
GTM,400.0
GUM,7.0
GNB,0.0
GUY,39.0
HKG,0.0
HMD,0.0
HND,335.0
HRV,17.0
HTI,60.0
HUN,23.0
IDN,668.0
IRL,3343.0
ISR,438.0
IMN,124.0
IND,8469.0
IOT,0.0
IRQ,128.0
IRN,117.0
ISL,175.0
ITA,1548.0
JEY,18.0
JAM,585.0
JOR,73.0
JPN,1126.0
KEN,2382.0
KGZ,36.0
KHM,208.0
KIR,3.0
COM,5.0
KNA,0.0
PRK,2.0
KOR,89.0
KWT,208.0
CYM,63.0
KAZ,78.0
LAO,1.0
LBN,192.0
LCA,1.0
LIE,4.0
LKA,1074.0
LBR,83.0
LSO,35.0
LTU,28.0
LUX,628.0
LVA,14.0
LBY,189.0
MAR,491.0
MCO,110.0
MDA,35.0
MNE,104.0
MDG,163.0
MHL,36.0
MKD,11.0
MLI,31.0
MMR,0.0
MNG,87.0
MAC,0.0
MNP,0.0
MTQ,18.0
MRT,47.0
MSR,10.0
MLT,93.0
MUS,71.0
MDV,3784.0
MWI,633.0
MEX,4268.0
MYS,665.0
MOZ,24.0
NCL,2.0
NER,71.0
NFK,0.0
NGA,2751.0
NIC,109.0
NLD,939.0
NOR,281.0
NPL,1004.0
NRU,2.0
NIU,1.0
NZL,735.0
OMN,34.0
PAN,647.0
PER,811.0
PYF,11.0
PNG,147.0
PHL,509.0
PAK,3799.0
POL,157.0
SPM,0.0
PCN,0.0
PRI,127.0
PSE,2.0
PRT,681.0
PLW,6.0
PRY,166.0
QAT,64.0
REU,0.0
ROU,53.0
SRB,2.0
RUS,184.0
RWA,1220.0
SAU,299.0
SLB,332.0
SYC,254.0
SDN,217.0
SWE,1014.0
SGP,1548.0
SHN,0.0
SVN,27.0
SJM,0.0
SVK,15.0
SLE,220.0
SMR,1.0
SEN,1875.0
SOM,658.0
SUR,7.0
STP,0.0
SLV,809.0
SYR,35.0
SWZ,1.0
TCA,0.0
TCD,14.0
ATF,0.0
TGO,136.0
THA,1035.0
TJK,11.0
TKL,0.0
TLS,8.0
TKM,4.0
TUN,117.0
TON,42.0
TUR,635.0
TTO,24.0
TUV,2.0
TWN,69.0
TZA,571.0
UKR,82.0
UGA,1008.0
UMI,0.0
USA,4201.0
URY,160.0
UZB,70.0
VAT,1553.0
VCT,0.0
VEN,1165.0
VGB,26.0
VIR,0.0
VNM,124.0
VUT,59.0
WLF,0.0
WSM,62.0
YEM,74.0
MYT,2.0
ZAF,2041.0
ZMB,231.0
ZWE,1327.0
