hashtag,date,n
#blinks,2021-10-24T08,0.0
#blinks,2021-10-24T09,0.0
#blinks,2021-10-24T10,0.0
#blinks,2021-10-24T11,0.0
#blinks,2021-10-24T12,0.0
#blinks,2021-10-24T13,0.0
#blinks,2021-10-24T14,0.0
#blinks,2021-10-24T15,0.0
#blinks,2021-10-24T16,0.0
#blinks,2021-10-24T17,0.0
#blinks,2021-10-24T18,0.0
#blinks,2021-10-24T19,0.0
#blinks,2021-10-24T20,0.0
#blinks,2021-10-24T21,0.0
#blinks,2021-10-24T22,0.0
#blinks,2021-10-24T23,0.0
#blinks,2021-10-25T00,0.0
#blinks,2021-10-25T01,0.0
#blinks,2021-10-25T02,0.0
#blinks,2021-10-25T03,0.0
#blinks,2021-10-25T04,0.0
#blinks,2021-10-25T05,0.0
#blinks,2021-10-25T06,0.0
#blinks,2021-10-25T07,0.0
#blinks,2021-10-25T08,0.0
#blinks,2021-10-25T09,0.0
#blinks,2021-10-25T10,0.27666666666666667
#blinks,2021-10-25T11,0.3733333333333333
#blinks,2021-10-25T12,0.4566666666666666
#blinks,2021-10-25T13,0.18000000000000002
#blinks,2021-10-25T14,0.16666666666666666
#blinks,2021-10-25T15,0.08333333333333333
#blinks,2021-10-25T16,0.08333333333333333
#blinks,2021-10-25T17,0.0
#blinks,2021-10-25T18,0.0
#blinks,2021-10-25T19,0.0
#blinks,2021-10-25T20,0.0
#blinks,2021-10-25T21,0.0
#blinks,2021-10-25T22,0.0
#blinks,2021-10-25T23,0.08333333333333333
#blinks,2021-10-26T00,0.08333333333333333
#blinks,2021-10-26T01,0.08333333333333333
#blinks,2021-10-26T02,0.0
#blinks,2021-10-26T03,0.0
#blinks,2021-10-26T04,0.0
#blinks,2021-10-26T05,0.08333333333333333
#blinks,2021-10-26T06,0.08333333333333333
#blinks,2021-10-26T07,0.08333333333333333
#blinks,2021-10-26T08,0.0
#blinks,2021-10-26T09,0.0
#blinks,2021-10-26T10,0.0
#blinks,2021-10-26T11,0.0
#blinks,2021-10-26T12,0.0
#blinks,2021-10-26T13,0.0
#blinks,2021-10-26T14,0.0
#blinks,2021-10-26T15,0.0
#blinks,2021-10-26T16,0.0
#blinks,2021-10-26T17,0.0
#blinks,2021-10-26T18,0.0
#blinks,2021-10-26T19,0.0
#blinks,2021-10-26T20,0.0
#blinks,2021-10-26T21,0.0
#blinks,2021-10-26T22,0.0
#blinks,2021-10-26T23,0.0
#blinks,2021-10-27T00,0.0
#blinks,2021-10-27T01,800.0
#blinks,2021-10-27T02,804.6666666666666
#blinks,2021-10-27T03,805.9333333333334
#blinks,2021-10-27T04,6.633333333333334
#blinks,2021-10-27T05,2.4333333333333336
#blinks,2021-10-27T06,1.7333333333333334
#blinks,2021-10-27T07,1.5
#blinks,2021-10-27T08,1.22
#blinks,2021-10-27T09,0.7633333333333333
#blinks,2021-10-27T10,0.4000000000000001
#blinks,2021-10-27T11,0.26333333333333336
#blinks,2021-10-27T12,0.18266666666666664
#blinks,2021-10-27T13,0.3193333333333333
#blinks,2021-10-27T14,0.476
#blinks,2021-10-27T15,0.6066666666666666
#blinks,2021-10-27T16,0.6966666666666667
#blinks,2021-10-27T17,0.62
#blinks,2021-10-27T18,0.6166666666666666
