hashtag,2021-10-26T13,2021-10-26T14,2021-10-26T15,2021-10-26T16,2021-10-26T17,2021-10-26T18,2021-10-26T19,2021-10-26T20,2021-10-26T21,2021-10-26T22,2021-10-26T23,2021-10-27T00,2021-10-27T01,2021-10-27T02,2021-10-27T03,2021-10-27T04,2021-10-27T05,2021-10-27T06,2021-10-27T07,2021-10-27T08,2021-10-27T09,2021-10-27T10,2021-10-27T11,2021-10-27T12,2021-10-27T13,2021-10-27T14,2021-10-27T15,2021-10-27T16,2021-10-27T17,2021-10-27T18,2021-10-27T19,2021-10-27T20,2021-10-27T21,2021-10-27T22,2021-10-27T23,2021-10-28T00,2021-10-28T01,2021-10-28T02,2021-10-28T03,2021-10-28T04,2021-10-28T05,2021-10-28T06,2021-10-28T07,2021-10-28T08,2021-10-28T09,2021-10-28T10,2021-10-28T11,2021-10-28T12,2021-10-28T13,2021-10-28T14,2021-10-28T15,2021-10-28T16,2021-10-28T17,2021-10-28T18,2021-10-28T19,2021-10-28T20,2021-10-28T21,2021-10-28T22,2021-10-28T23,2021-10-29T00,2021-10-29T01,2021-10-29T02,2021-10-29T03,2021-10-29T04,2021-10-29T05,2021-10-29T06,2021-10-29T07,2021-10-29T08,2021-10-29T09,2021-10-29T10,2021-10-29T11,2021-10-29T12,2021-10-29T13,2021-10-29T14,2021-10-29T15,2021-10-29T16,2021-10-29T17,2021-10-29T18,2021-10-29T19,2021-10-29T20,2021-10-29T21,2021-10-29T22,2021-10-29T23,2021-10-30T00,2021-10-30T01,2021-10-30T02,2021-10-30T03,2021-10-30T04,2021-10-30T05,2021-10-30T06,2021-10-30T07,2021-10-30T08,2021-10-30T09,2021-10-30T10,2021-10-30T11,2021-10-30T12,2021-10-30T13,2021-10-30T14,2021-10-30T15,2021-10-30T16,2021-10-30T17,2021-10-30T18,2021-10-30T19,2021-10-30T20,2021-10-30T21,2021-10-30T22,2021-10-30T23,2021-10-31T00,2021-10-31T01,2021-10-31T02,2021-10-31T03,2021-10-31T04,2021-10-31T05,2021-10-31T06,2021-10-31T07,2021-10-31T08,2021-10-31T09,2021-10-31T10,2021-10-31T11,2021-10-31T12,2021-10-31T13
blinks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,804.6666666666666,805.9333333333334,6.633333333333334,2.4333333333333336,1.7333333333333334,1.5,1.22,0.7633333333333333,0.4000000000000001,0.26333333333333336,0.18266666666666664,0.3193333333333333,0.476,0.6066666666666666,0.6966666666666667,0.62,0.6166666666666666,0.49666666666666665,0.4633333333333334,0.37999999999999995,0.27666666666666667,0.25666666666666665,0.25666666666666665,0.5166666666666667,0.7566666666666667,0.705,0.555,0.3116666666666667,0.41,0.38666666666666666,0.3733333333333333,0.2866666666666667,0.22999999999999998,0.17900000000000002,0.4323333333333333,0.629,0.71,0.42333333333333334,0.2866666666666667,0.25333333333333335,0.2836666666666667,0.18366666666666664,0.21033333333333334,0.2006666666666667,2.504,2.754,2.8033333333333332,1.0033333333333332,0.9800000000000001,1.0766666666666667,0.6066666666666668,0.2966666666666667,0.25333333333333335,0.16333333333333333,0.17733333333333334,0.3873333333333333,0.5773333333333334,0.591,0.29766666666666663,0.17766666666666667,0.19666666666666668,0.22,0.15666666666666668,0.3333333333333333,0.6366666666666667,0.6466666666666666,0.4633333333333334,0.16666666666666666,0.81,0.8733333333333334,0.8350000000000001,1.2016666666666669,1.465,1.6000000000000003,0.5333333333333333,0.30666666666666664,0.13999999999999999,0.20333333333333334,0.14666666666666667,0.16733333333333333,0.17400000000000002,0.38400000000000006,0.53,0.5166666666666666,0.29000000000000004,0.32,0.37333333333333335,0.47333333333333333,0.38333333333333336,0.3566666666666667,0.2366666666666667,0.24,0.26,0.28,0.17,0.09433333333333334,0.07433333333333335,0.15766666666666668,0.18666666666666668,0.14,0.08033333333333333,0.14366666666666666,0.7436666666666666,0.88,0.88,0.4466666666666666,0.39666666666666667,0.27666666666666667
climateaction,89.0,135.0,136.66666666666666,129.0,113.66666666666667,109.66666666666667,107.33333333333333,124.66666666666667,129.0,106.33333333333333,70.0,39.666666666666664,41.0,51.666666666666664,74.66666666666667,90.0,105.33333333333333,120.0,135.33333333333334,146.33333333333334,140.33333333333334,149.0,155.33333333333334,166.33333333333334,146.66666666666666,129.0,274.6666666666667,467.6666666666667,553.0,441.3333333333333,276.3333333333333,221.66666666666666,208.33333333333334,229.33333333333334,246.66666666666666,246.66666666666666,234.33333333333334,203.33333333333334,193.33333333333334,162.0,195.66666666666666,209.66666666666666,254.66666666666666,247.33333333333334,251.33333333333334,268.6666666666667,270.3333333333333,368.6666666666667,356.0,360.0,258.0,235.33333333333334,214.0,192.66666666666666,179.33333333333334,152.66666666666666,122.0,99.33333333333333,88.0,111.33333333333333,102.0,103.0,79.33333333333333,86.0,96.0,151.33333333333334,208.33333333333334,252.66666666666666,246.0,224.0,218.33333333333334,243.33333333333334,270.0,257.3333333333333,212.33333333333334,171.0,162.66666666666666,161.33333333333334,145.66666666666666,124.33333333333333,108.0,101.0,88.0,68.66666666666667,57.333333333333336,63.0,68.0,82.0,92.66666666666667,120.66666666666667,140.33333333333334,158.0,152.33333333333334,143.33333333333334,121.33333333333333,126.66666666666667,134.33333333333334,151.66666666666666,143.0,216.33333333333334,225.0,228.33333333333334,148.66666666666666,135.33333333333334,133.66666666666666,126.66666666666667,107.33333333333333,86.66666666666667,75.0,76.33333333333333,83.0,96.66666666666667,136.0,187.33333333333334,251.66666666666666,286.6666666666667,299.0,269.0,272.0,280.3333333333333,207.0
climateactioninyourarea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,87.0,97.33333333333333,39.0,26.333333333333332,19.333333333333332,12.666666666666666,8.333333333333334,9.0,9.333333333333334,10.333333333333334,8.666666666666666,8.666666666666666,8.333333333333334,8.666666666666666,7.0,4.666666666666667,3.0,2.0,2.3333333333333335,2.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,1703.0,2031.0,2221.3333333333335,628.3333333333334,384.6666666666667,265.3333333333333,212.0,180.33333333333334,147.33333333333334,135.0,124.0,171.33333333333334,168.66666666666666,331.3333333333333,306.0,309.6666666666667,131.33333333333334,93.0,71.0,70.0,69.66666666666667,75.0,78.0,79.33333333333333,68.33333333333333,55.333333333333336,44.333333333333336,37.666666666666664,29.333333333333332,23.0,20.0,18.333333333333332,17.333333333333332,19.666666666666668,22.333333333333332,21.0,19.0,23.333333333333332,29.666666666666668,32.333333333333336,23.0,15.333333333333334,8.666666666666666,11.333333333333334,13.333333333333334,44.0,57.0,66.0,42.333333333333336,33.666666666666664,26.666666666666668,24.666666666666668,18.666666666666668,17.333333333333332,14.333333333333334,15.0,13.0,11.666666666666666,12.666666666666666,13.333333333333334,19.333333333333332,19.0,18.333333333333332,16.0,26.666666666666668,35.333333333333336,35.333333333333336,25.666666666666668,17.666666666666668,18.333333333333332,17.0,19.0,14.666666666666666,15.666666666666666,14.333333333333334,16.333333333333332,13.0,10.333333333333334,15.333333333333334,19.666666666666668,22.333333333333332,16.0,13.0,11.666666666666666,7.333333333333333
climatechange,90.0,133.33333333333334,130.0,119.33333333333333,104.66666666666667,107.33333333333333,103.33333333333333,103.33333333333333,87.0,75.33333333333333,63.666666666666664,50.333333333333336,49.666666666666664,55.0,58.333333333333336,77.0,120.0,182.33333333333334,222.66666666666666,225.66666666666666,224.66666666666666,211.66666666666666,224.0,219.66666666666666,237.33333333333334,233.33333333333334,235.0,222.0,203.33333333333334,179.33333333333334,162.66666666666666,164.0,154.33333333333334,131.33333333333334,96.33333333333333,76.66666666666667,74.66666666666667,78.0,86.0,89.33333333333333,114.66666666666667,138.0,177.66666666666666,190.66666666666666,194.0,197.66666666666666,210.66666666666666,290.6666666666667,296.6666666666667,282.6666666666667,212.33333333333334,197.66666666666666,184.0,174.33333333333334,154.33333333333334,143.0,117.33333333333333,104.33333333333333,100.0,107.66666666666667,123.66666666666667,118.0,111.0,98.33333333333333,161.66666666666666,237.0,320.3333333333333,344.6666666666667,351.3333333333333,352.3333333333333,343.3333333333333,342.0,332.3333333333333,344.6666666666667,335.3333333333333,311.3333333333333,261.3333333333333,230.33333333333334,216.33333333333334,202.66666666666666,169.33333333333334,131.0,96.33333333333333,86.0,82.0,95.0,99.0,104.66666666666667,103.0,117.66666666666667,142.33333333333334,166.0,181.66666666666666,299.6666666666667,304.6666666666667,291.6666666666667,166.33333333333334,161.66666666666666,176.66666666666666,161.33333333333334,151.33333333333334,127.33333333333333,120.33333333333333,97.0,83.33333333333333,71.66666666666667,67.33333333333333,82.66666666666667,100.33333333333333,121.33333333333333,118.66666666666667,124.0,130.33333333333334,145.33333333333334,187.66666666666666,234.33333333333334,263.6666666666667,267.3333333333333,270.6666666666667,279.0,190.66666666666666
climatecrisis,77.33333333333333,114.0,109.33333333333333,98.33333333333333,91.33333333333333,83.33333333333333,102.66666666666667,126.66666666666667,143.33333333333334,125.33333333333333,93.33333333333333,66.0,53.333333333333336,53.666666666666664,76.0,77.33333333333333,82.33333333333333,77.33333333333333,89.33333333333333,99.0,108.0,115.0,144.33333333333334,153.0,156.33333333333334,135.0,135.0,124.66666666666667,115.66666666666667,107.0,105.33333333333333,113.0,97.0,94.66666666666667,73.0,63.666666666666664,46.0,39.333333333333336,49.666666666666664,61.666666666666664,79.33333333333333,93.66666666666667,109.0,114.0,125.0,125.66666666666667,128.66666666666666,181.66666666666666,187.0,191.0,125.33333333333333,112.66666666666667,99.33333333333333,105.33333333333333,112.0,132.66666666666666,112.0,108.33333333333333,75.33333333333333,86.66666666666667,67.0,65.66666666666667,50.333333333333336,58.666666666666664,60.0,69.66666666666667,88.0,107.0,129.66666666666666,136.0,149.66666666666666,154.0,158.0,145.0,137.0,146.33333333333334,147.0,137.0,112.66666666666667,108.33333333333333,95.0,85.0,69.0,67.33333333333333,52.0,56.333333333333336,46.666666666666664,63.0,74.66666666666667,107.33333333333333,130.33333333333334,166.33333333333334,187.0,192.33333333333334,183.0,189.66666666666666,188.0,184.0,161.0,154.66666666666666,159.0,152.33333333333334,160.0,157.33333333333334,172.33333333333334,155.33333333333334,115.66666666666667,77.66666666666667,61.666666666666664,56.333333333333336,62.333333333333336,74.66666666666667,100.0,124.33333333333333,178.66666666666666,257.3333333333333,329.3333333333333,315.6666666666667,293.0,233.66666666666666,159.0
climateemergency,60.333333333333336,90.0,90.66666666666667,97.0,88.0,75.66666666666667,52.333333333333336,39.666666666666664,29.666666666666668,26.666666666666668,23.0,19.666666666666668,20.0,30.333333333333332,43.666666666666664,42.0,35.0,32.333333333333336,33.666666666666664,42.0,34.0,50.333333333333336,67.33333333333333,111.0,118.33333333333333,115.66666666666667,93.66666666666667,91.33333333333333,94.66666666666667,96.33333333333333,97.33333333333333,85.66666666666667,66.66666666666667,49.0,36.0,29.666666666666668,24.0,32.333333333333336,41.0,49.333333333333336,51.0,63.333333333333336,152.66666666666666,198.33333333333334,235.33333333333334,182.0,156.66666666666666,191.33333333333334,183.66666666666666,185.0,117.0,118.33333333333333,109.66666666666667,109.33333333333333,88.66666666666667,84.33333333333333,75.33333333333333,74.33333333333333,65.33333333333333,74.66666666666667,63.666666666666664,54.666666666666664,32.333333333333336,29.666666666666668,32.333333333333336,38.0,39.666666666666664,44.333333333333336,45.666666666666664,62.333333333333336,82.0,92.66666666666667,101.33333333333333,91.66666666666667,100.33333333333333,102.33333333333333,109.66666666666667,95.33333333333333,80.0,65.0,57.0,47.333333333333336,38.666666666666664,34.666666666666664,26.666666666666668,33.333333333333336,34.0,52.666666666666664,52.333333333333336,69.0,84.0,90.0,84.33333333333333,70.33333333333333,66.0,72.66666666666667,72.33333333333333,82.0,68.0,62.666666666666664,49.666666666666664,46.666666666666664,54.333333333333336,57.333333333333336,65.66666666666667,57.0,50.666666666666664,42.333333333333336,38.666666666666664,39.666666666666664,43.0,43.0,50.0,87.0,145.33333333333334,184.33333333333334,190.66666666666666,168.0,193.66666666666666,218.66666666666666,168.0
cop26glasgow,110.66666666666667,168.0,174.66666666666666,239.0,236.0,237.33333333333334,160.0,152.33333333333334,140.66666666666666,112.66666666666667,87.0,63.0,49.0,49.333333333333336,63.333333333333336,73.33333333333333,88.0,110.33333333333333,123.66666666666667,126.0,122.0,115.33333333333333,124.0,101.33333333333333,101.66666666666667,102.33333333333333,127.33333333333333,144.33333333333334,131.33333333333334,128.66666666666666,121.33333333333333,121.33333333333333,103.66666666666667,82.33333333333333,68.33333333333333,71.0,70.0,62.666666666666664,46.333333333333336,43.666666666666664,62.666666666666664,82.66666666666667,134.0,147.0,158.33333333333334,147.33333333333334,158.33333333333334,192.33333333333334,174.0,179.33333333333334,131.66666666666666,130.33333333333334,107.0,132.33333333333334,163.0,168.33333333333334,142.66666666666666,89.33333333333333,58.333333333333336,66.0,109.0,128.66666666666666,110.33333333333333,95.66666666666667,112.33333333333333,171.33333333333334,223.33333333333334,303.3333333333333,337.3333333333333,326.3333333333333,277.0,246.66666666666666,323.6666666666667,360.3333333333333,394.3333333333333,352.6666666666667,331.0,279.6666666666667,238.66666666666666,225.0,224.66666666666666,193.66666666666666,158.33333333333334,134.0,121.33333333333333,118.0,115.0,118.66666666666667,132.0,183.66666666666666,249.66666666666666,312.6666666666667,382.0,403.0,383.3333333333333,330.3333333333333,321.0,315.0,311.6666666666667,314.3333333333333,324.6666666666667,327.0,309.6666666666667,282.3333333333333,275.6666666666667,258.0,222.66666666666666,157.66666666666666,108.66666666666667,97.0,95.66666666666667,112.66666666666667,144.33333333333334,227.66666666666666,376.0,565.3333333333334,728.0,870.6666666666666,917.3333333333334,877.0,535.3333333333334
coy16,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.3333333333333333,2.6666666666666665,3.0,4.666666666666667,4.0,2.6666666666666665,1.3333333333333333,1.0,2.3333333333333335,2.0,2.0,2.3333333333333335,2.6666666666666665,2.3333333333333335,1.6666666666666667,1.0,1.6666666666666667,2.3333333333333335,2.6666666666666665,2.3333333333333335,1.3333333333333333,3.6666666666666665,5.0,4.666666666666667,2.6666666666666665,3.0,4.666666666666667,8.0,11.0,11.333333333333334,12.0,9.0,9.0,9.0,9.666666666666666,10.0,6.666666666666667,5.0,2.6666666666666665,2.0,1.3333333333333333,1.6666666666666667,2.0,3.6666666666666665,3.6666666666666665,4.666666666666667,7.333333333333333,9.0,9.0,12.0,13.666666666666666,15.333333333333334,10.0,8.666666666666666,5.666666666666667,4.333333333333333,2.0,3.3333333333333335,3.3333333333333335,3.0,2.0,2.0,2.0,1.3333333333333333,1.0,1.0,0.6666666666666666,0.3333333333333333,1.3333333333333333,2.3333333333333335,2.6666666666666665,2.6666666666666665,7.0,7.0,7.0,3.0,3.6666666666666665,3.0,3.3333333333333335,8.666666666666666,9.666666666666666,19.0,116.0,161.33333333333334,189.33333333333334,109.66666666666667,76.0,47.666666666666664,31.333333333333332,26.333333333333332,20.666666666666668,24.333333333333332,34.0,50.333333333333336,66.66666666666667,79.66666666666667,95.33333333333333,90.0,73.33333333333333,52.333333333333336,30.0
dearearth,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,11.333333333333334,13.666666666666666,15.666666666666666,5.0,2.6666666666666665,0.3333333333333333,1.0,1.0,1.3333333333333333,1.0,1.6666666666666667,1.3333333333333333,1.0,2.3333333333333335,3.3333333333333335,4.0,2.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666667,2.0,2.0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,89.66666666666667,150.0,182.33333333333334,125.0,79.66666666666667,62.333333333333336,57.0,70.33333333333333,92.66666666666667,97.66666666666667,96.66666666666667,82.66666666666667,70.66666666666667,57.666666666666664,44.333333333333336,36.0,30.0,24.666666666666668,26.666666666666668,30.0,35.0,29.0,28.333333333333332,26.666666666666668,25.333333333333332,14.333333333333334,7.666666666666667,3.0,3.3333333333333335,2.0,1.3333333333333333,1.0,2.0,3.3333333333333335,4.0,2.6666666666666665,1.6666666666666667,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,0.6666666666666666,0.6666666666666666
g20,18.666666666666668,25.666666666666668,17.0,16.333333333333332,15.0,19.0,17.0,15.0,8.666666666666666,11.0,10.333333333333334,12.666666666666666,10.666666666666666,11.0,11.333333333333334,13.666666666666666,19.0,21.666666666666668,29.333333333333332,27.666666666666668,26.333333333333332,20.666666666666668,20.666666666666668,28.333333333333332,29.0,30.333333333333332,26.0,27.666666666666668,24.666666666666668,18.666666666666668,11.666666666666666,10.666666666666666,11.333333333333334,11.666666666666666,11.333333333333334,9.0,7.0,11.333333333333334,16.666666666666668,20.666666666666668,20.666666666666668,33.666666666666664,39.333333333333336,52.333333333333336,44.666666666666664,46.666666666666664,44.666666666666664,79.33333333333333,88.33333333333333,84.33333333333333,53.666666666666664,41.333333333333336,33.333333333333336,28.0,24.333333333333332,34.666666666666664,37.666666666666664,38.666666666666664,29.666666666666668,22.666666666666668,22.333333333333332,19.0,21.666666666666668,22.333333333333332,25.0,28.666666666666668,32.333333333333336,36.666666666666664,43.333333333333336,41.333333333333336,50.0,61.666666666666664,71.33333333333333,75.0,74.33333333333333,89.33333333333333,93.33333333333333,79.0,78.33333333333333,74.66666666666667,81.0,68.0,56.0,44.666666666666664,32.666666666666664,31.0,33.0,40.0,51.0,77.66666666666667,126.33333333333333,188.33333333333334,220.0,216.0,188.0,189.0,213.0,226.0,209.33333333333334,189.33333333333334,155.0,141.66666666666666,129.66666666666666,152.0,173.0,184.33333333333334,170.0,145.66666666666666,114.0,93.33333333333333,83.33333333333333,84.66666666666667,100.0,117.66666666666667,147.0,179.0,203.66666666666666,234.33333333333334,315.0,399.6666666666667,306.6666666666667
